country,date,infections,infections_new,infections_new_normed,deaths,deaths_new,deaths_per_infection,deaths_per_infection_new,datetime
Grenada, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Guatemala, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Guinea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Guinea-Bissau, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Guyana, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Haiti, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Holy See, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Honduras, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Hungary, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Iceland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
India, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Indonesia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Iran, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Iraq, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Ireland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Israel, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Italy, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Jamaica, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Japan, 1/23/2020,2.0,0.0,0.0,0.0,0.0,0.0,,2020-01-23
Jordan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Kazakhstan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Kenya, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
"Korea, South", 1/23/2020,1.0,0.0,0.0,0.0,0.0,0.0,,2020-01-23
Kosovo, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Kuwait, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Kyrgyzstan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Laos, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Latvia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Lebanon, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Liberia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Libya, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Liechtenstein, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Lithuania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Luxembourg, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Madagascar, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Malaysia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Maldives, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Mali, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Malta, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Mauritania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Mauritius, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Mexico, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Moldova, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Monaco, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Mongolia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Montenegro, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Morocco, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Mozambique, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
MS Zaandam, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Namibia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Nepal, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Netherlands, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
New Zealand, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Nicaragua, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Niger, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Nigeria, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
North Macedonia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Norway, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Oman, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Pakistan, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Panama, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Papua New Guinea, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Paraguay, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Peru, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Philippines, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Poland, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Portugal, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Qatar, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Romania, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Russia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Rwanda, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Saint Kitts and Nevis, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
Saint Lucia, 1/23/2020,0.0,0.0,0.0,0.0,0.0,,,2020-01-23
